ISIN;ETF;Provider;Total Expense Ratio (%);Trading Currency;Ticker
LU0533033667;Amundi MSCI World Information Technology UCITS ETF EUR Acc;Amundi;0,30%;EUR;
IE00BKPTXQ89;Alerian Midstream Energy Dividend UCITS ETF - Dist;HANetf;0,49%;EUR;
LU0496786905;Amundi Australia S&P/ASX 200 UCITS ETF Dist;Amundi;0,40%;EUR;
LU1829218749;Amundi Bloomberg Equal-weight Commodity ex-Agriculture  UCITS ETF Acc;Amundi;0,30%;EUR;
LU1900069219;Amundi Bloomberg Equal-weight Commodity ex-Agriculture  UCITS ETF EUR Hedged Acc;Amundi;0,35%;EUR;
LU1681046931;Amundi CAC 40 ESG UCITS ETF Acc;Amundi;0,25%;EUR;
LU2439735890;Amundi China CNY Bonds UCITS ETF DR (C);Amundi;0,20%;USD;
LU2439735890;Amundi China CNY Bonds UCITS ETF DR (C);Amundi;0,20%;EUR;
LU2611732046;Amundi Core DAX UCITS ETF Dist;Amundi;0,08%;EUR;
LU2089238625;Amundi Core EUR Corporate Bond UCITS ETF Acc;Amundi;0,07%;EUR;
LU1931975079;Amundi Core EUR Corporate Bond UCITS ETF Dist;Amundi;0,07%;EUR;
LU2970735911;Amundi Core EUR High Yield Bond UCITS ETF Acc;Amundi;0,15%;EUR;
LU1437018598;Amundi Core Euro Government Bond UCITS ETF Acc;Amundi;0,09%;EUR;
LU1737653714;Amundi Core Euro Government Bond UCITS ETF Dist;Amundi;0,09%;EUR;
LU1681047236;Amundi Core EURO STOXX 50 UCITS ETF EUR Acc;Amundi;0,09%;EUR;
LU1681047319;Amundi Core EURO STOXX 50 UCITS ETF EUR Dist;Amundi;0,09%;EUR;
LU1650492256;Amundi Core FTSE 100 Swap UCITS ETF Dist;Amundi;0,14%;EUR;
LU1737654019;Amundi Core Global Aggregate Bond UCITS ETF Dist;Amundi;0,10%;EUR;
LU1737653631;Amundi Core Global Government Bond UCITS ETF Dist;Amundi;0,20%;EUR;
LU1708330235;Amundi Core Global Government Bond UCITS ETF EUR Hedged Acc;Amundi;0,22%;EUR;
LU2469335538;Amundi Core Global Government Bond UCITS ETF USD Hedged Acc;Amundi;0,22%;USD;
LU2572256746;Amundi Core MSCI China A Swap UCITS ETF Dist;Amundi;0,25%;USD;
LU2572256746;Amundi Core MSCI China A Swap UCITS ETF Dist;Amundi;0,25%;EUR;
LU2573966905;Amundi Core MSCI Emerging Markets Swap UCITS ETF Dist;Amundi;0,14%;EUR;
LU1737652583;Amundi Core MSCI Emerging Markets UCITS ETF EUR Dist;Amundi;0,18%;EUR;
LU1646360971;Amundi Core MSCI EMU UCITS ETF Dist;Amundi;0,12%;EUR;
LU1737652310;Amundi Core MSCI Europe UCITS ETF Dist;Amundi;0,12%;EUR;
LU1781541252;Amundi Core MSCI Japan UCITS ETF Acc;Amundi;0,12%;EUR;
LU2090063673;Amundi Core MSCI Japan UCITS ETF Dist;Amundi;0,12%;EUR;
LU2133056387;Amundi Core MSCI Japan UCITS ETF EUR Hedged Dist;Amundi;0,20%;EUR;
LU2914157412;Amundi Core MSCI Japan UCITS ETF USD Hedged Acc;Amundi;0,14%;USD;
IE000FSN19U2;Amundi Core MSCI USA UCITS ETF Acc;Amundi;0,03%;EUR;
IE000FSN19U2;Amundi Core MSCI USA UCITS ETF Acc;Amundi;0,03%;USD;
IE000IEGVMH6;Amundi Core MSCI USA UCITS ETF Dist;Amundi;0,03%;EUR;
IE000IEGVMH6;Amundi Core MSCI USA UCITS ETF Dist;Amundi;0,03%;GBP;
LU2572257124;Amundi Core MSCI World Swap UCITS ETF Dist;Amundi;0,20%;EUR;
LU2572257124;Amundi Core MSCI World Swap UCITS ETF Dist;Amundi;0,20%;USD;
IE000BI8OT95;Amundi Core MSCI World UCITS ETF Acc;Amundi;0,12%;EUR;
IE000BI8OT95;Amundi Core MSCI World UCITS ETF Acc;Amundi;0,12%;GBP;
