ticker,hist_url
1PAS,https://it.investing.com/etfs/boost-palladium-1x-short-daily-mi-historical-data
2PAL,https://it.investing.com/etfs/boost-palladium-2x-lever-daily-mi-historical-data
3DEL,https://it.investing.com/etfs/boost-levdax-3x-daily-historical-data
3DES,https://it.investing.com/etfs/boost-shortdax-3x-daily-historical-data
3CFL,https://it.investing.com/etfs/etfs-3x-daily-long-coffee-historical-data
3BUS,https://it.investing.com/etfs/boost-bund-10y-3x-short-daily-historical-data
3BUL,
3EUL,https://it.investing.com/etfs/boost-eurostoxx50-3x-leverage-historical-data
3EUS,https://it.investing.com/etfs/boost-eurostoxx50-3x-short-historical-data
3BRL,https://it.investing.com/etfs/boost-3x-daily-long-brent-crude-oil-historical-data
3BRS,https://it.investing.com/etfs/boost-3x-daily-short-brent-crude-oil-historical-data
3BAL,https://it.investing.com/etfs/boost-euro-stoxx-banks-3x-leverage-historical-data
3BTL,
3BTS,
3EML,https://it.investing.com/etfs/boost-em-3x-leverage-daily-historical-data
3EMS,https://it.investing.com/etfs/boost-em-3x-short-daily-historical-data
3GOL,
3GOS,
3HCL,https://it.investing.com/etfs/etfs-3x-daily-long-copper-historical-data
100EUA,
